Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:23:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:24:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:24:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:25:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:25:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:26:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:26:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:27:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:27:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:28:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:28:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:29:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:29:43 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:30:13 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:30:43 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:31:13 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:31:43 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:32:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:32:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:33:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:33:44 ] 
